| Version  | Processes | OMP |        Kosaraju       |    Communication     |       Elapsed        |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  |       0.0128965       |         0.0          |      0.0128965       |         1.0         |         1.0          |
| Parallel |     1     |  1  |        0.007756       |         0.0          |       0.007756       |  1.6627772047447138 |  1.6627772047447138  |
| Parallel |     1     |  2  |       0.0077475       |         0.0          |      0.0077475       |  1.6646014843497903 |  1.6646014843497903  |
| Parallel |     1     |  4  |        0.007733       |         0.0          |       0.007733       |  1.667722746670115  |  1.667722746670115   |
| Parallel |     1     |  8  |        0.012902       |         0.0          |       0.012902       |  0.9995737095024027 |  0.9995737095024027  |
| Parallel |     2     |  1  |        0.005048       |       0.002585       | 0.007632999999999999 |   1.68957159701297  |  0.844785798506485   |
| Parallel |     2     |  2  |        0.00404        |      0.0024385       |       0.006478       |  1.9908150663785118 |  0.9954075331892559  |
| Parallel |     2     |  4  |       0.0040465       |      0.0027735       |       0.00682        |  1.8909824046920822 |  0.9454912023460411  |
| Parallel |     2     |  8  |       0.0040505       |      0.0034465       |      0.0074975       |  1.7201067022340781 |  0.8600533511170391  |
| Parallel |     4     |  1  | 0.0025180000000000003 |       0.004451       |      0.0069685       |  1.8506852263758342 | 0.46267130659395855  |
| Parallel |     4     |  2  |       0.0050635       |       0.018787       |      0.0238505       |  0.5407224167208234 | 0.13518060418020586  |
| Parallel |     4     |  4  |        0.005136       |       0.068113       | 0.07324900000000001  | 0.17606383704896994 | 0.044015959262242485 |
| Parallel |     4     |  8  |       0.0037925       | 0.007154000000000001 |      0.0109465       |   1.17813913122916  |   0.29453478280729   |
