| Version  | Processes | OMP |       Kosaraju      |    Communication     |       Elapsed       |      Speedup       |     Efficiency     |
|  Serial  |     1     |  0  |       0.471223      |         0.0          |       0.471223      |        1.0         |        1.0         |
| Parallel |     1     |  1  |      0.3541485      |         0.0          |      0.3541485      | 1.3305802509399307 | 1.3305802509399307 |
| Parallel |     1     |  2  |       0.235648      |         0.0          |       0.235648      | 1.9996902159152634 | 1.9996902159152634 |
| Parallel |     1     |  4  |      0.2357785      |         0.0          |      0.2357785      | 1.9985834162147949 | 1.9985834162147949 |
| Parallel |     1     |  8  |       0.236559      |         0.0          |       0.236559      | 1.9919893134482307 | 1.9919893134482307 |
| Parallel |     2     |  1  |       0.123045      | 0.043080499999999994 | 0.16612500000000002 | 2.8365568096313014 | 1.4182784048156507 |
| Parallel |     2     |  2  | 0.12282599999999999 |       0.043676       |      0.1665025      | 2.830125673788682  | 1.415062836894341  |
| Parallel |     2     |  4  |      0.1234895      |       0.044186       | 0.16767549999999998 | 2.810327090123483  | 1.4051635450617415 |
| Parallel |     2     |  8  |       0.131428      |       0.050095       |      0.1815235      | 2.595933859803276  | 1.297966929901638  |
| Parallel |     4     |  1  |      0.0762455      | 0.11279549999999999  | 0.18904100000000001 | 2.492702641225977  | 0.6231756603064943 |
| Parallel |     4     |  2  |      0.0762235      | 0.10535749999999999  |       0.181581      | 2.595111823373591  | 0.6487779558433977 |
| Parallel |     4     |  4  | 0.11389300000000001 |       0.169828       |      0.2837215      | 1.6608646154767968 | 0.4152161538691992 |
| Parallel |     4     |  8  |      0.1516865      |       0.174523       |       0.32621       | 1.4445387940283867 | 0.3611346985070967 |
