| Version  | Processes | OMP |        Kosaraju       |     Communication     |        Elapsed        |       Speedup        |      Efficiency      |
|  Serial  |     1     |  0  |       0.0017415       |          0.0          |       0.0017415       |         1.0          |         1.0          |
| Parallel |     1     |  1  |        0.001022       |          0.0          |        0.001022       |  1.7040117416829748  |  1.7040117416829748  |
| Parallel |     1     |  2  |       0.0012225       |          0.0          |       0.0012225       |  1.4245398773006135  |  1.4245398773006135  |
| Parallel |     1     |  4  |        0.00103        |          0.0          |        0.00103        |  1.690776699029126   |  1.690776699029126   |
| Parallel |     1     |  8  | 0.0010214999999999998 |          0.0          | 0.0010214999999999998 |  1.704845814977974   |  1.704845814977974   |
| Parallel |     2     |  1  |       0.0006435       |       0.0004925       | 0.0011359999999999999 |  1.533010563380282   |  0.766505281690141   |
| Parallel |     2     |  2  |       0.0006455       |       0.0008445       | 0.0014889999999999999 |  1.1695768972464742  |  0.5847884486232371  |
| Parallel |     2     |  4  |       0.0006405       |       0.0011695       |        0.00181        |  0.9621546961325967  | 0.48107734806629837  |
| Parallel |     2     |  8  |       0.0007465       | 0.0023680000000000003 |       0.0031145       |  0.5591587734788891  | 0.27957938673944455  |
| Parallel |     4     |  1  | 0.0008075000000000001 |       0.0014475       |        0.002255       |  0.7722838137472283  | 0.19307095343680708  |
| Parallel |     4     |  2  |       0.0009875       |       0.0316545       |  0.032642000000000004 | 0.05335151032412229  | 0.013337877581030572 |
| Parallel |     4     |  4  |       0.0010365       |       0.0618085       |        0.062845       | 0.027711035086323495 | 0.006927758771580874 |
| Parallel |     4     |  8  | 0.0007740000000000001 |        0.005288       |       0.0060625       | 0.28725773195876286  | 0.07181443298969072  |
