| Version  | Processes | OMP |      Kosaraju      |    Communication    |      Elapsed       |      Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |      1.262461      |         0.0         |      1.262461      |        1.0         |         1.0         |
| Parallel |     1     |  1  |       1.266        |         0.0         |       1.266        | 0.9972045813586098 |  0.9972045813586098 |
| Parallel |     1     |  2  |      1.265112      |         0.0         |      1.265112      | 0.9979045333535688 |  0.9979045333535688 |
| Parallel |     1     |  4  |      1.266654      |         0.0         |      1.266654      | 0.9966897037391428 |  0.9966897037391428 |
| Parallel |     1     |  8  |     1.8521855      |         0.0         |     1.8521855      | 0.681606135022653  |  0.681606135022653  |
| Parallel |     2     |  1  |     0.6389245      |       0.217843      |     0.8567675      | 1.473516444076135  |  0.7367582220380675 |
| Parallel |     2     |  2  | 0.6406229999999999 |      0.2188435      |     0.8594665      | 1.4688891306409266 |  0.7344445653204633 |
| Parallel |     2     |  4  |     0.8784595      | 0.22688950000000002 |      1.105349      | 1.1421379130030427 |  0.5710689565015213 |
| Parallel |     2     |  8  | 0.6418265000000001 | 0.22433999999999998 | 0.8661665000000001 | 1.4575269304458207 |  0.7287634652229104 |
| Parallel |     4     |  1  |     0.6949375      |       1.035975      |      1.730913      | 0.7293613254970066 | 0.18234033137425165 |
| Parallel |     4     |  2  |      0.563077      |       0.673924      | 1.2370014999999999 | 1.0205816241936652 |  0.2551454060484163 |
| Parallel |     4     |  4  |     0.7204385      |      0.7900445      |      1.510483      | 0.8357995422656197 | 0.20894988556640492 |
| Parallel |     4     |  8  |     0.7134395      |      0.7856515      |     1.4990915      | 0.8421507292917078 | 0.21053768232292694 |
