| Version  | Processes | OMP |  Kosaraju |    Communication     |       Elapsed       |      Speedup       |      Efficiency     |
|  Serial  |     1     |  0  | 0.1238425 |         0.0          |      0.1238425      |        1.0         |         1.0         |
| Parallel |     1     |  1  | 0.1249605 |         0.0          |      0.1249605      | 0.9910531728026055 |  0.9910531728026055 |
| Parallel |     1     |  2  |  0.246319 |         0.0          |       0.246319      | 0.5027728271063133 |  0.5027728271063133 |
| Parallel |     1     |  4  |  0.185355 |         0.0          |       0.185355      | 0.6681368185374013 |  0.6681368185374013 |
| Parallel |     1     |  8  |  0.125127 |         0.0          |       0.125127      | 0.9897344298193036 |  0.9897344298193036 |
| Parallel |     2     |  1  | 0.0627515 | 0.034695500000000004 | 0.09744649999999999 | 1.2708768401122668 |  0.6354384200561334 |
| Parallel |     2     |  2  |  0.063004 | 0.035075499999999996 |       0.098079      | 1.2626811040079935 |  0.6313405520039967 |
| Parallel |     2     |  4  |  0.062947 |      0.0354945       |      0.0984415      | 1.2580314196756448 |  0.6290157098378224 |
| Parallel |     2     |  8  |  0.123556 |       0.072368       |      0.1959245      | 0.6320929745897016 |  0.3160464872948508 |
| Parallel |     4     |  1  | 0.0578325 | 0.12411950000000001  |       0.181952      | 0.6806328042560675 | 0.17015820106401688 |
| Parallel |     4     |  2  |  0.076291 |       0.191706       |       0.267997      | 0.4621040534035829 | 0.11552601335089573 |
| Parallel |     4     |  4  | 0.0663585 |       0.152332       |       0.21869       | 0.5662924687914399 | 0.14157311719785998 |
| Parallel |     4     |  8  | 0.0767475 |      0.1616845       | 0.23843150000000002 | 0.519404944397028  |  0.129851236099257  |
