| Version  | Processes | OMP |       Kosaraju      |    Communication    |      Elapsed       |      Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |      0.9127985      |         0.0         |     0.9127985      |        1.0         |         1.0         |
| Parallel |     1     |  1  |       0.911794      |         0.0         |      0.911794      | 1.0011016742816907 |  1.0011016742816907 |
| Parallel |     1     |  2  |      0.9197815      |         0.0         |     0.9197815      | 0.9924079795038278 |  0.9924079795038278 |
| Parallel |     1     |  4  |      0.9117145      |         0.0         |     0.9117145      | 1.0011889686957924 |  1.0011889686957924 |
| Parallel |     1     |  8  |       0.913941      |         0.0         |      0.913941      | 0.9987499193055132 |  0.9987499193055132 |
| Parallel |     2     |  1  |      0.4668625      |      0.1627635      |     0.6296265      | 1.4497460002080598 |  0.7248730001040299 |
| Parallel |     2     |  2  |       0.464675      |      0.1677435      |     0.6324185      | 1.4433456643029892 |  0.7216728321514946 |
| Parallel |     2     |  4  |       0.470814      |       0.161711      |      0.632525      | 1.4431026441642623 |  0.7215513220821311 |
| Parallel |     2     |  8  |       0.550475      | 0.16255150000000002 | 0.7130259999999999 |  1.28017561771941  |  0.640087808859705  |
| Parallel |     4     |  1  |      0.3877175      |  0.6317105000000001 |      1.019428      | 0.8954026179386871 | 0.22385065448467178 |
| Parallel |     4     |  2  |      0.4896245      |       0.638223      |     1.1278475      | 0.8093279454890844 |  0.2023319863722711 |
| Parallel |     4     |  4  |       0.492354      |       0.760838      |     1.2531915      | 0.7283791024755594 | 0.18209477561888984 |
| Parallel |     4     |  8  | 0.28934649999999995 |       0.345505      |      0.634851      | 1.4378153298963061 | 0.35945383247407653 |
