| Version  | Processes | OMP |       Kosaraju       |     Communication     |       Elapsed        |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  | 0.008837000000000001 |          0.0          | 0.008837000000000001 |         1.0         |         1.0          |
| Parallel |     1     |  1  | 0.008862499999999999 |          0.0          | 0.008862499999999999 |  0.9971227080394925 |  0.9971227080394925  |
| Parallel |     1     |  2  |       0.004435       |          0.0          |       0.004435       |  1.9925591882750848 |  1.9925591882750848  |
| Parallel |     1     |  4  |      0.0044015       |          0.0          |      0.0044015       |  2.007724639327502  |  2.007724639327502   |
| Parallel |     1     |  8  |      0.0044235       |          0.0          |      0.0044235       |  1.9977393466711881 |  1.9977393466711881  |
| Parallel |     2     |  1  |       0.002157       | 0.0018059999999999999 |       0.003963       |  2.2298763562957356 |  1.1149381781478678  |
| Parallel |     2     |  2  |      0.0021605       |        0.002156       |      0.0043165       |  2.0472605119888803 |  1.0236302559944401  |
| Parallel |     2     |  4  |      0.0021545       | 0.0025570000000000002 |      0.0047115       |  1.8756234744773428 |  0.9378117372386714  |
| Parallel |     2     |  8  |      0.0021885       |        0.003197       |       0.005385       |  1.6410399257195916 |  0.8205199628597958  |
| Parallel |     4     |  1  |      0.0013185       |        0.003808       |      0.0051265       |  1.7237881595630549 |  0.4309470398907637  |
| Parallel |     4     |  2  |      0.0013175       |  0.016663999999999998 |       0.017981       |  0.4914632111673434 | 0.12286580279183584  |
| Parallel |     4     |  4  |       0.001316       |  0.039552500000000004 |      0.0408685       | 0.21623010386972855 | 0.054057525967432137 |
| Parallel |     4     |  8  |       0.002614       |        0.017082       |      0.0196965       | 0.44865839108471056 | 0.11216459777117764  |
