| Version  | Processes | OMP |       Kosaraju      |    Communication    |       Elapsed       |      Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |       0.146063      |         0.0         |       0.146063      |        1.0         |         1.0         |
| Parallel |     1     |  1  |      0.1499845      |         0.0         |      0.1499845      | 0.9738539649097073 |  0.9738539649097073 |
| Parallel |     1     |  2  |      0.1505165      |         0.0         |      0.1505165      | 0.9704118817538276 |  0.9704118817538276 |
| Parallel |     1     |  4  |      0.1494955      |         0.0         |      0.1494955      | 0.977039442658809  |  0.977039442658809  |
| Parallel |     1     |  8  | 0.15049200000000001 |         0.0         | 0.15049200000000001 | 0.9705698641788266 |  0.9705698641788266 |
| Parallel |     2     |  1  |      0.0731175      |       0.039271      |       0.112388      | 1.2996316332704558 |  0.6498158166352279 |
| Parallel |     2     |  2  |       0.073572      |      0.0400135      |      0.1135855      | 1.2859299822600596 |  0.6429649911300298 |
| Parallel |     2     |  4  | 0.07362250000000001 |      0.0404015      |       0.114024      | 1.2809847049743914 |  0.6404923524871957 |
| Parallel |     2     |  8  | 0.07377600000000001 |       0.041234      |       0.11501       | 1.2700026084688287 |  0.6350013042344144 |
| Parallel |     4     |  1  |       0.08487       |      0.1957785      |      0.2806485      | 0.5204481762774431 | 0.13011204406936078 |
| Parallel |     4     |  2  |       0.084461      |       0.181142      | 0.26560300000000003 | 0.5499297824196262 | 0.13748244560490655 |
| Parallel |     4     |  4  |      0.0639295      |      0.1731285      |      0.2370585      | 0.616147491020149  | 0.15403687275503725 |
| Parallel |     4     |  8  |       0.043296      | 0.09058949999999999 | 0.13388499999999998 | 1.0909586585502484 |  0.2727396646375621 |
