| Version  | Processes | OMP |        Kosaraju       |     Communication     |       Elapsed        |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  |       0.0087995       |          0.0          |      0.0087995       |         1.0         |         1.0          |
| Parallel |     1     |  1  |        0.00884        |          0.0          |       0.00884        |  0.995418552036199  |  0.995418552036199   |
| Parallel |     1     |  2  |       0.0066505       |          0.0          |      0.0066505       |  1.3231335989775204 |  1.3231335989775204  |
| Parallel |     1     |  4  |        0.004411       |          0.0          |       0.004411       |  1.9948991158467468 |  1.9948991158467468  |
| Parallel |     1     |  8  |        0.004399       |          0.0          |       0.004399       |  2.0003409865878607 |  2.0003409865878607  |
| Parallel |     2     |  1  |       0.0021475       |       0.0018025       |      0.0039495       |   2.2280035447525   |   1.11400177237625   |
| Parallel |     2     |  2  |       0.0021455       | 0.0021609999999999997 |       0.004306       |  2.0435438922433815 |  1.0217719461216908  |
| Parallel |     2     |  4  |        0.002206       |        0.00252        |       0.004726       |  1.861933982225984  |  0.930966991112992   |
| Parallel |     2     |  8  | 0.0021514999999999998 |        0.003261       | 0.005412999999999999 |  1.6256234989839278 |  0.8128117494919639  |
| Parallel |     4     |  1  | 0.0019355000000000002 |       0.0057535       |      0.0076895       |  1.1443526887313868 |  0.2860881721828467  |
| Parallel |     4     |  2  |        0.002615       |       0.0328795       |      0.0354945       |  0.2479116482835369 | 0.061977912070884225 |
| Parallel |     4     |  4  |        0.001944       |       0.0417125       |      0.0436565       | 0.20156219577840642 | 0.050390548944601606 |
| Parallel |     4     |  8  |       0.0019565       |       0.0110645       |      0.0130215       |  0.6757670007295626 | 0.16894175018239066  |
