| Version  | Processes | OMP |        Tarjan        |    Communication     |       Elapsed        |       Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |      0.1119405       |         0.0          |      0.1119405       |         1.0         |         1.0         |
| Parallel |     1     |  1  |      0.0557535       |         0.0          |      0.0557535       |  2.0077752966181497 |  2.0077752966181497 |
| Parallel |     1     |  2  |       0.055941       |         0.0          |       0.055941       |   2.0010457446238   |   2.0010457446238   |
| Parallel |     1     |  4  |       0.055836       |         0.0          |       0.055836       |  2.0048087255534064 |  2.0048087255534064 |
| Parallel |     1     |  8  | 0.056162000000000004 |         0.0          | 0.056162000000000004 |  1.9931715394750897 |  1.9931715394750897 |
| Parallel |     2     |  1  | 0.022352499999999997 |       0.043597       |      0.0659495       |  1.6973669246923784 |  0.8486834623461892 |
| Parallel |     2     |  2  |       0.022383       |       0.04384        |      0.0662225       |  1.6903695873758917 |  0.8451847936879459 |
| Parallel |     2     |  4  |      0.0223725       | 0.044256500000000004 |       0.066629       |  1.6800567320536104 |  0.8400283660268052 |
| Parallel |     2     |  8  |       0.022381       | 0.044908000000000003 |      0.0672885       |  1.6635903609086247 |  0.8317951804543123 |
| Parallel |     4     |  1  |       0.01176        |       0.112472       |       0.124232       |  0.9010601133363385 | 0.22526502833408463 |
| Parallel |     4     |  2  | 0.011737000000000001 |      0.1077975       |       0.119534       |  0.936474141248515  | 0.23411853531212876 |
| Parallel |     4     |  4  |      0.0117725       |      0.1353025       |       0.147075       |  0.7611116777154512 |  0.1902779194288628 |
| Parallel |     4     |  8  | 0.023448999999999998 |       0.208146       |       0.231595       | 0.48334592715732205 | 0.12083648178933051 |
