| Version  | Processes | OMP |        Tarjan        | Communication |       Elapsed        |       Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |       0.029407       |      0.0      |       0.029407       |         1.0         |         1.0         |
| Parallel |     1     |  1  |      0.0369015       |      0.0      |      0.0369015       |  0.7969052748533257 |  0.7969052748533257 |
| Parallel |     1     |  2  |      0.0296855       |      0.0      |      0.0296855       |  0.9906183153391386 |  0.9906183153391386 |
| Parallel |     1     |  4  |      0.0296335       |      0.0      |      0.0296335       |  0.9923566234160662 |  0.9923566234160662 |
| Parallel |     1     |  8  |      0.0296505       |      0.0      |      0.0296505       |  0.9917876595672923 |  0.9917876595672923 |
| Parallel |     2     |  1  |       0.010445       |    0.035496   | 0.045940999999999996 |  0.640103611153436  |  0.320051805576718  |
| Parallel |     2     |  2  | 0.010537999999999999 |    0.036068   |       0.046606       |  0.6309702613397417 | 0.31548513066987083 |
| Parallel |     2     |  4  |      0.0208355       |   0.0739815   |      0.0948175       | 0.31014316977351225 | 0.15507158488675613 |
| Parallel |     2     |  8  | 0.015641000000000002 |    0.05502    |       0.07066        | 0.41617605434474947 | 0.20808802717237473 |
| Parallel |     4     |  1  |      0.0102475       |   0.1202355   |      0.1304825       | 0.22537121836261567 | 0.05634280459065392 |
| Parallel |     4     |  2  | 0.010295499999999999 |   0.1276825   |      0.1379785       |  0.2131274075308834 | 0.05328185188272085 |
| Parallel |     4     |  4  | 0.010336000000000001 |    0.138328   |       0.148664       | 0.19780848086961203 | 0.04945212021740301 |
| Parallel |     4     |  8  |      0.0137175       |   0.1235385   |       0.137256       | 0.21424928600571197 | 0.05356232150142799 |
