| Version  | Processes | OMP |        Tarjan       | Communication |  Elapsed  |       Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |      1.1035025      |      0.0      | 1.1035025 |         1.0         |         1.0         |
| Parallel |     1     |  1  |       1.102601      |      0.0      |  1.102601 |  1.0008176121733974 |  1.0008176121733974 |
| Parallel |     1     |  2  |       1.095936      |      0.0      |  1.095936 |  1.006904144037608  |  1.006904144037608  |
| Parallel |     1     |  4  |      1.0956495      |      0.0      | 1.0956495 |  1.007167438126883  |  1.007167438126883  |
| Parallel |     1     |  8  |      1.0960915      |      0.0      | 1.0960915 |  1.0067612968442872 |  1.0067612968442872 |
| Parallel |     2     |  1  |      0.3911435      |    1.042971   |  1.434114 |  0.7694663743607552 |  0.3847331871803776 |
| Parallel |     2     |  2  |       0.38669       |    1.049597   |  1.436287 |  0.7683022265048698 |  0.3841511132524349 |
| Parallel |     2     |  4  | 0.38623450000000004 |   1.0952955   |  1.48153  |  0.7448397939967466 |  0.3724198969983733 |
| Parallel |     2     |  8  |       0.386635      |   1.0480395   |  1.434675 |  0.7691654904420863 | 0.38458274522104313 |
| Parallel |     4     |  1  | 0.25542549999999997 |    3.762003   |  4.017428 |  0.2746788492538012 |  0.0686697123134503 |
| Parallel |     4     |  2  |       0.368707      |   3.1114315   |  3.480139 | 0.31708575433337577 | 0.07927143858334394 |
| Parallel |     4     |  4  |      0.4429405      |    3.693665   | 4.1366055 |  0.2667652257388335 | 0.06669130643470837 |
| Parallel |     4     |  8  |      0.3339005      |   3.2234965   |  3.557397 |  0.3101994239046134 | 0.07754985597615335 |
