| Version  | Processes | OMP |        Tarjan       |    Communication    |       Elapsed       |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  |      0.2091025      |         0.0         |      0.2091025      |         1.0         |         1.0          |
| Parallel |     1     |  1  |       0.210044      |         0.0         |       0.210044      |  0.9955176058349678 |  0.9955176058349678  |
| Parallel |     1     |  2  |       0.210283      |         0.0         |       0.210283      |  0.9943861367775807 |  0.9943861367775807  |
| Parallel |     1     |  4  |       0.210243      |         0.0         |       0.210243      |  0.9945753247432731 |  0.9945753247432731  |
| Parallel |     1     |  8  | 0.20997549999999998 |         0.0         | 0.20997549999999998 |  0.9958423720862672 |  0.9958423720862672  |
| Parallel |     2     |  1  |      0.0745855      |       0.208071      |       0.282656      |  0.7397773265028869 | 0.36988866325144343  |
| Parallel |     2     |  2  |      0.0745685      | 0.21028449999999999 |      0.2848535      |  0.7340703203576575 | 0.36703516017882876  |
| Parallel |     2     |  4  |      0.1115845      |      0.3187525      |       0.430337      | 0.48590407053077006 | 0.24295203526538503  |
| Parallel |     2     |  8  |       0.074931      | 0.21313100000000001 | 0.28806149999999997 |  0.7258953383218515 | 0.36294766916092575  |
| Parallel |     4     |  1  |      0.0778735      |      1.0589455      |      1.1368185      | 0.18393657386821205 | 0.04598414346705301  |
| Parallel |     4     |  2  |       0.063928      |      0.6767535      |      0.7406815      | 0.28231095281845164 | 0.07057773820461291  |
| Parallel |     4     |  4  |      0.0674695      |      0.6250435      |      0.6925135      | 0.30194718225709677 | 0.07548679556427419  |
| Parallel |     4     |  8  | 0.07851949999999999 |       0.816373      |      0.8948925      | 0.23366214377704586 | 0.058415535944261465 |
