| Version  | Processes | OMP |       Tarjan       |   Communication    |      Elapsed       |       Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |     1.1034765      |        0.0         |     1.1034765      |         1.0         |         1.0         |
| Parallel |     1     |  1  | 1.1136110000000001 |        0.0         | 1.1136110000000001 |  0.990899425382831  |  0.990899425382831  |
| Parallel |     1     |  2  |     1.1876805      |        0.0         |     1.1876805      |  0.9291021448950286 |  0.9291021448950286 |
| Parallel |     1     |  4  | 1.1142604999999999 |        0.0         | 1.1142604999999999 |  0.9903218322824869 |  0.9903218322824869 |
| Parallel |     1     |  8  |     1.1144425      |        0.0         |     1.1144425      |  0.990160102472761  |  0.990160102472761  |
| Parallel |     2     |  1  |      0.392254      |      1.040546      | 1.4327999999999999 |  0.7701538944723618 |  0.3850769472361809 |
| Parallel |     2     |  2  |      0.39026       | 1.0402230000000001 |      1.430483      |  0.7714013378697965 | 0.38570066893489824 |
| Parallel |     2     |  4  |     0.3902285      |      1.041269      |      1.431497      |  0.770854916217079  |  0.3854274581085395 |
| Parallel |     2     |  8  |      0.390339      | 1.0751369999999998 |     1.4654765      |  0.7529813681761529 | 0.37649068408807645 |
| Parallel |     4     |  1  |      0.252438      |      4.276792      |      4.52923       |  0.2436344588373741 | 0.06090861470934353 |
| Parallel |     4     |  2  |     0.2638355      |      2.852068      |     3.1159035      | 0.35414334879112913 | 0.08853583719778228 |
| Parallel |     4     |  4  |      0.298675      |      3.22326       |     3.5219355      |  0.3133153631007723 | 0.07832884077519307 |
| Parallel |     4     |  8  |     0.3546505      |     3.6914755      |     4.0461265      |  0.2727241721186918 | 0.06818104302967296 |
