| Version  | Processes | OMP |   Tarjan  | Communication |       Elapsed        |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  |  0.006764 |      0.0      |       0.006764       |         1.0         |         1.0          |
| Parallel |     1     |  1  |  0.007905 |      0.0      |       0.007905       |  0.8556609740670461 |  0.8556609740670461  |
| Parallel |     1     |  2  | 0.0135035 |      0.0      |      0.0135035       |  0.500907172214611  |  0.500907172214611   |
| Parallel |     1     |  4  | 0.0100955 |      0.0      |      0.0100955       |  0.6700014858105097 |  0.6700014858105097  |
| Parallel |     1     |  8  |  0.006824 |      0.0      |       0.006824       |  0.9912075029308324 |  0.9912075029308324  |
| Parallel |     2     |  1  | 0.0027085 |   0.0093265   |       0.012035       |  0.5620274200249272 |  0.2810137100124636  |
| Parallel |     2     |  2  | 0.0027275 |   0.0098225   |      0.0125505       |  0.538942671606709  |  0.2694713358033545  |
| Parallel |     2     |  4  |  0.00273  |   0.0102925   | 0.013021999999999999 |  0.5194286591921364 |  0.2597143295960682  |
| Parallel |     2     |  8  | 0.0027485 |    0.011101   |      0.0138495       | 0.48839308278277194 | 0.24419654139138597  |
| Parallel |     4     |  1  | 0.0027495 |    0.030641   |      0.0333905       |  0.2025725880115602 | 0.05064314700289005  |
| Parallel |     4     |  2  | 0.0036365 |   0.0666465   |      0.0702825       | 0.09624017358517412 | 0.02406004339629353  |
| Parallel |     4     |  4  | 0.0036095 |    0.058992   |       0.062601       |  0.1080493921822335 | 0.027012348045558375 |
| Parallel |     4     |  8  |  0.003675 |   0.0308975   |       0.034573       | 0.19564399965290835 | 0.04891099991322709  |
