| Version  | Processes | OMP |      Kosaraju      |    Communication    |      Elapsed       |      Speedup       |      Efficiency     |
|  Serial  |     1     |  0  | 7.823177799999999  |         0.0         | 7.823177799999999  |        1.0         |         1.0         |
| Parallel |     1     |  1  |     7.8028888      |         0.0         |     7.8028888      | 1.0026001908421402 |  1.0026001908421402 |
| Parallel |     1     |  2  | 7.8007387999999995 |         0.0         | 7.8007387999999995 | 1.0028765224134923 |  1.0028765224134923 |
| Parallel |     1     |  4  | 7.824584799999999  |         0.0         | 7.824584799999999  | 0.9998201821520293 |  0.9998201821520293 |
| Parallel |     1     |  8  |     7.8084492      |         0.0         |     7.8084492      | 1.0018862388193546 |  1.0018862388193546 |
| Parallel |     1     |  16 | 7.817586200000001  |         0.0         | 7.817586200000001  | 1.0007152591422654 |  1.0007152591422654 |
| Parallel |     2     |  1  |      3.198467      |  0.5330429999999999 | 3.7315098000000004 | 2.0965180903450924 |  1.0482590451725462 |
| Parallel |     2     |  2  | 3.1990451999999996 |      0.2677298      | 3.4667748000000005 | 2.2566155148006724 |  1.1283077574003362 |
| Parallel |     2     |  4  |     3.2146354      | 0.26776140000000004 |      3.482397      | 2.2464922293466247 |  1.1232461146733124 |
| Parallel |     2     |  8  |     3.1950314      | 0.27674180000000004 |     3.4717734      | 2.253366478353685  |  1.1266832391768424 |
| Parallel |     2     |  16 |     3.1941826      |      0.2718368      | 3.4660193999999995 | 2.257107331828552  |  1.128553665914276  |
| Parallel |     4     |  1  |     1.6737386      |      2.1377564      |      3.811495      | 2.0525221205852295 |  0.5131305301463074 |
| Parallel |     4     |  2  | 1.6756619999999998 |      1.8945352      |     3.5701974      | 2.191245167564124  |  0.547811291891031  |
| Parallel |     4     |  4  | 1.6755427999999999 |  1.4620456000000002 |     3.1375884      | 2.493372871980276  |  0.623343217995069  |
| Parallel |     4     |  8  |     1.6748714      |  1.4773682000000001 | 3.1522397999999994 | 2.4817838414450577 |  0.6204459603612644 |
| Parallel |     4     |  16 | 1.6782721999999999 |      1.4514084      |     3.1296806      | 2.4996729059188976 |  0.6249182264797244 |
| Parallel |     8     |  1  |     1.0691044      |  5.2663454000000005 |     6.3354498      | 1.234825947164793  | 0.15435324339559914 |
| Parallel |     8     |  2  | 1.0696599999999998 |      3.7832444      |     4.8529044      | 1.6120609752790513 | 0.20150762190988142 |
| Parallel |     8     |  4  |     1.0709306      |  3.3183363999999997 | 4.389266999999999  | 1.7823426553909798 | 0.22279283192387248 |
| Parallel |     8     |  8  | 1.0701923999999998 |  3.3347008000000002 | 4.4048929999999995 | 1.776019939644391  | 0.22200249245554887 |
| Parallel |     8     |  16 |     1.0760354      |  3.3594263999999994 |     4.4354616      | 1.7637798510080662 | 0.22047248137600828 |
