| Version  | Processes | OMP |        Kosaraju       |    Communication     |       Elapsed        |       Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |       0.0106012       |         0.0          |      0.0106012       |         1.0         |         1.0         |
| Parallel |     1     |  1  |        0.010744       |         0.0          |       0.010744       |  0.9867088607594936 |  0.9867088607594936 |
| Parallel |     1     |  2  |       0.0107496       |         0.0          |      0.0107496       |  0.986194835156657  |  0.986194835156657  |
| Parallel |     1     |  4  |       0.0107206       |         0.0          |      0.0107206       |  0.9888625636624815 |  0.9888625636624815 |
| Parallel |     1     |  8  |       0.0107542       |         0.0          |      0.0107542       |  0.9857730003161556 |  0.9857730003161556 |
| Parallel |     1     |  16 |       0.0107296       |         0.0          |      0.0107296       |  0.9880331046823739 |  0.9880331046823739 |
| Parallel |     2     |  1  |        0.004638       |      0.0014118       | 0.006050000000000001 |  1.752264462809917  |  0.8761322314049586 |
| Parallel |     2     |  2  | 0.0049023999999999995 |      0.0015406       |       0.006443       |  1.6453825857519788 |  0.8226912928759894 |
| Parallel |     2     |  4  |       0.0046346       |       0.00089        | 0.005524599999999999 |  1.9189081562466064 |  0.9594540781233032 |
| Parallel |     2     |  8  |       0.0048942       |      0.0010804       |      0.0059752       |  1.7742000267773463 |  0.8871000133886732 |
| Parallel |     2     |  16 |       0.0046334       |      0.0106108       | 0.015243999999999999 |  0.6954342692206771 | 0.34771713461033854 |
| Parallel |     4     |  1  | 0.0034084000000000002 | 0.004695400000000001 |      0.0081044       |  1.3080795617195597 | 0.32701989042988994 |
| Parallel |     4     |  2  | 0.0034056000000000004 |      0.0041492       |      0.0075548       |  1.4032403240324032 |  0.3508100810081008 |
| Parallel |     4     |  4  | 0.0030399999999999997 |      0.0030232       | 0.006063000000000001 |  1.7485073396008575 | 0.43712683490021437 |
| Parallel |     4     |  8  |       0.0030506       | 0.006565800000000001 |      0.0096166       |  1.1023854584780484 |  0.2755963646195121 |
| Parallel |     4     |  16 | 0.0033755999999999994 | 0.027943000000000003 | 0.031318399999999996 | 0.33849749667926843 | 0.08462437416981711 |
| Parallel |     8     |  1  |       0.0020054       | 0.007899399999999999 | 0.009904800000000002 |  1.0703093449640577 | 0.13378866812050721 |
| Parallel |     8     |  2  | 0.0021930000000000005 |      0.0080176       | 0.010210799999999999 |  1.0382340267168098 | 0.12977925333960122 |
| Parallel |     8     |  4  | 0.0022873999999999998 |       0.009416       |       0.011703       |  0.9058532000341792 |  0.1132316500042724 |
| Parallel |     8     |  8  | 0.0018983999999999997 | 0.028752800000000002 | 0.030650799999999995 | 0.34587025460999393 | 0.04323378182624924 |
| Parallel |     8     |  16 | 0.0021254000000000004 | 0.06083500000000001  |      0.0629606       |  0.1683783191392712 |  0.0210472898924089 |
