| Version  | Processes | OMP |        Kosaraju       |     Communication     |       Elapsed        |      Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |       0.0314408       |          0.0          |      0.0314408       |        1.0         |         1.0         |
| Parallel |     1     |  1  |  0.031837199999999996 |          0.0          | 0.031837199999999996 | 0.9875491563328433 |  0.9875491563328433 |
| Parallel |     1     |  2  |  0.031842999999999996 |          0.0          | 0.031842999999999996 | 0.9873692805326132 |  0.9873692805326132 |
| Parallel |     1     |  4  |       0.0318494       |          0.0          |      0.0318494       | 0.987170872920683  |  0.987170872920683  |
| Parallel |     1     |  8  |  0.031863800000000005 |          0.0          | 0.031863800000000005 | 0.9867247472052924 |  0.9867247472052924 |
| Parallel |     1     |  16 |  0.03185060000000001  |          0.0          | 0.03185060000000001  | 0.9871336803702282 |  0.9871336803702282 |
| Parallel |     2     |  1  |       0.0136764       | 0.0037102000000000003 |      0.0173866       | 1.8083351546593354 |  0.9041675773296677 |
| Parallel |     2     |  2  |  0.013685600000000001 | 0.0019702000000000005 |      0.0156556       | 2.0082781879966274 |  1.0041390939983137 |
| Parallel |     2     |  4  |       0.0136778       | 0.0020312000000000004 |      0.0157088       | 2.0014768792014666 |  1.0007384396007333 |
| Parallel |     2     |  8  |  0.014525399999999999 | 0.0022898000000000003 | 0.016815200000000002 | 1.8697844807079305 |  0.9348922403539652 |
| Parallel |     2     |  16 |  0.014316599999999999 |       0.0087574       | 0.023073999999999997 | 1.362607263586721  |  0.6813036317933605 |
| Parallel |     4     |  1  |       0.0090662       |       0.0132152       |      0.0222812       | 1.4110909645800045 |  0.3527727411450011 |
| Parallel |     4     |  2  |  0.008273399999999998 |       0.0090424       | 0.017315999999999998 | 1.8157080157080159 | 0.45392700392700397 |
| Parallel |     4     |  4  |  0.009501800000000001 |  0.009170599999999998 |      0.0186724       | 1.683811400784045  | 0.42095285019601125 |
| Parallel |     4     |  8  |  0.008631400000000001 |       0.0110262       | 0.019657600000000004 |  1.59942210646264  |   0.39985552661566  |
| Parallel |     4     |  16 |       0.0086538       |       0.0280568       |      0.0367108       | 0.8564455146714317 | 0.21411137866785793 |
| Parallel |     8     |  1  | 0.0051324000000000005 |       0.0255768       | 0.030708999999999997 | 1.0238301475137581 | 0.12797876843921976 |
| Parallel |     8     |  2  |       0.0047246       |  0.016563199999999997 | 0.021287400000000005 | 1.4769675958548245 | 0.18462094948185306 |
| Parallel |     8     |  4  |         0.0055        |  0.018961600000000002 |      0.0244618       | 1.2853019810480013 | 0.16066274763100016 |
| Parallel |     8     |  8  |        0.005852       |  0.031959400000000006 | 0.03781140000000001  | 0.8315164209735686 | 0.10393955262169607 |
| Parallel |     8     |  16 |       0.0048398       |  0.06882479999999999  |      0.0736646       | 0.4268101639050507 | 0.05335127048813134 |
