| Version  | Processes | OMP |       Kosaraju       |     Communication     |       Elapsed        |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  |      0.0024546       |          0.0          |      0.0024546       |         1.0         |         1.0          |
| Parallel |     1     |  1  |      0.0025432       |          0.0          |      0.0025432       |  0.9651620006291287 |  0.9651620006291287  |
| Parallel |     1     |  2  |      0.0025478       |          0.0          |      0.0025478       |  0.9634194206766623 |  0.9634194206766623  |
| Parallel |     1     |  4  |      0.0025524       |          0.0          |      0.0025524       |  0.9616831217677481 |  0.9616831217677481  |
| Parallel |     1     |  8  |       0.002569       |          0.0          |       0.002569       |  0.9554690541066562 |  0.9554690541066562  |
| Parallel |     1     |  16 |      0.0025514       |          0.0          |      0.0025514       |  0.9620600454652347 |  0.9620600454652347  |
| Parallel |     2     |  1  |       0.004376       |       0.0009502       |      0.0053264       | 0.46083658756383294 | 0.23041829378191647  |
| Parallel |     2     |  2  |      0.0043888       | 0.0008169999999999998 |       0.005206       |  0.471494429504418  |  0.235747214752209   |
| Parallel |     2     |  4  |       0.004403       |       0.0007634       |      0.0051664       | 0.47510839269123567 | 0.23755419634561784  |
| Parallel |     2     |  8  |      0.0045976       | 0.0008201999999999999 |      0.0054176       |  0.4530788541051388 |  0.2265394270525694  |
| Parallel |     2     |  16 |      0.0048326       |        0.009551       | 0.014383400000000001 |  0.1706550606949678 |  0.0853275303474839  |
| Parallel |     4     |  1  |      0.0063846       | 0.0019209999999999997 |      0.0083056       | 0.29553554228472356 | 0.07388388557118089  |
| Parallel |     4     |  2  | 0.005938799999999999 | 0.0015281999999999997 |      0.0074668       |  0.3287352011571222 | 0.08218380028928055  |
| Parallel |     4     |  4  | 0.005813400000000001 | 0.0017323999999999998 |      0.0075458       | 0.32529354077765116 | 0.08132338519441279  |
| Parallel |     4     |  8  | 0.005597199999999999 |       0.0044014       |      0.0099986       | 0.24549436921168963 | 0.06137359230292241  |
| Parallel |     4     |  16 |      0.0058964       |  0.024429199999999998 |       0.030326       | 0.08094044714106707 | 0.02023511178526677  |
| Parallel |     8     |  1  |      0.0058542       |       0.0020772       |      0.0079316       |  0.3094709768520853 | 0.03868387210651066  |
| Parallel |     8     |  2  | 0.006254999999999999 |       0.0023882       |      0.0086432       |  0.2839920399851907 | 0.035499004998148835 |
| Parallel |     8     |  4  |      0.0064788       |        0.005515       |      0.0119934       | 0.20466256441042574 | 0.025582820551303218 |
| Parallel |     8     |  8  |      0.0062502       |  0.018019800000000002 | 0.024270399999999998 | 0.10113553958731625 | 0.012641942448414531 |
| Parallel |     8     |  16 | 0.006212199999999999 |       0.0623418       |      0.0685542       | 0.03580524606807461 | 0.004475655758509326 |
