| Version  | Processes | OMP |       Kosaraju      |    Communication    |      Elapsed       |      Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |      4.1888588      |         0.0         |     4.1888588      |        1.0         |         1.0         |
| Parallel |     1     |  1  |      4.3346874      |         0.0         |     4.3346874      | 0.9663577585779312 |  0.9663577585779312 |
| Parallel |     1     |  2  |  4.3239469999999995 |         0.0         | 4.3239469999999995 | 0.9687581277013804 |  0.9687581277013804 |
| Parallel |     1     |  4  |      4.3264338      |         0.0         |     4.3264338      | 0.9682012931759177 |  0.9682012931759177 |
| Parallel |     1     |  8  |       4.327592      |         0.0         |      4.327592      | 0.9679421719977299 |  0.9679421719977299 |
| Parallel |     1     |  16 |      4.3200902      |         0.0         |     4.3200902      | 0.969622995371717  |  0.969622995371717  |
| Parallel |     2     |  1  |      1.6540648      | 0.28344120000000006 |     1.9375062      | 2.1619847203585723 |  1.0809923601792861 |
| Parallel |     2     |  2  |      1.6573566      |      0.1434722      | 1.8008285999999998 | 2.326073008836044  |  1.163036504418022  |
| Parallel |     2     |  4  |  1.6559905999999998 |      0.1435532      | 1.7995442000000001 | 2.327733211554348  |  1.163866605777174  |
| Parallel |     2     |  8  |  1.6550550000000002 | 0.14595519999999998 |     1.8010102      | 2.3258384655456146 |  1.1629192327728073 |
| Parallel |     2     |  16 |      1.6555024      | 0.14521420000000002 |     1.8007166      | 2.3262176846706475 |  1.1631088423353237 |
| Parallel |     4     |  1  |       0.760429      |      1.1232658      | 1.8836950000000001 | 2.223745776253587  |  0.5559364440633967 |
| Parallel |     4     |  2  |        0.7579       |  0.9966975999999999 | 1.7545975999999999 | 2.387361523804661  |  0.5968403809511652 |
| Parallel |     4     |  4  |  0.7581846000000001 |      0.7529766      |      1.511161      | 2.7719473967366817 |  0.6929868491841704 |
| Parallel |     4     |  8  |  0.7569475999999999 |      0.7657738      | 1.5227214000000002 | 2.7509029557212497 |  0.6877257389303124 |
| Parallel |     4     |  16 |      0.7580308      |  0.7721399999999999 |     1.5301708      | 2.737510609926683  |  0.6843776524816707 |
| Parallel |     8     |  1  | 0.42357940000000005 |      2.8423818      | 3.2659613999999997 | 1.282580620824239  | 0.16032257760302987 |
| Parallel |     8     |  2  |       0.425091      |  2.4945695999999997 |      2.91966       | 1.4347077399423223 | 0.17933846749279028 |
| Parallel |     8     |  4  | 0.42622299999999996 |       1.842285      |      2.268508      | 1.8465259104221805 | 0.23081573880277256 |
| Parallel |     8     |  8  |      0.4266984      |      1.8497922      |     2.2764906      | 1.840050997794588  |  0.2300063747243235 |
| Parallel |     8     |  16 | 0.43178700000000003 |      1.8772628      |      2.30905       | 1.814104848314242  | 0.22676310603928024 |
