| Version  | Processes | OMP |         Tarjan        |     Communication     |        Elapsed        |       Speedup        |      Efficiency      |
|  Serial  |     1     |  0  |        0.00102        |          0.0          |        0.00102        |         1.0          |         1.0          |
| Parallel |     1     |  1  |        0.001065       |          0.0          |        0.001065       |  0.9577464788732395  |  0.9577464788732395  |
| Parallel |     1     |  2  |       0.0010646       |          0.0          |       0.0010646       |  0.9581063310163442  |  0.9581063310163442  |
| Parallel |     1     |  4  |       0.0010684       |          0.0          |       0.0010684       |  0.9546986147510297  |  0.9546986147510297  |
| Parallel |     1     |  8  |       0.0010622       |          0.0          |       0.0010622       |  0.9602711353794013  |  0.9602711353794013  |
| Parallel |     1     |  16 | 0.0010630000000000001 |          0.0          | 0.0010630000000000001 |  0.9595484477892756  |  0.9595484477892756  |
| Parallel |     2     |  1  | 0.0017580000000000002 |       0.0010102       |       0.0027682       |  0.3684704862365436  |  0.1842352431182718  |
| Parallel |     2     |  2  | 0.0017728000000000002 | 0.0008645999999999999 | 0.0026369999999999996 |  0.3868031854379978  |  0.1934015927189989  |
| Parallel |     2     |  4  | 0.0016543999999999999 | 0.0007719999999999999 |       0.0024264       | 0.42037586547972305  | 0.21018793273986153  |
| Parallel |     2     |  8  | 0.0018173999999999998 | 0.0008657999999999999 |        0.002683       | 0.38017144986954904  | 0.19008572493477452  |
| Parallel |     2     |  16 | 0.0017573999999999999 |  0.007890600000000001 |  0.009647800000000002 | 0.10572358465142312  | 0.05286179232571156  |
| Parallel |     4     |  1  | 0.0024501999999999996 |       0.0020116       |       0.0044618       | 0.22860728853825812  | 0.05715182213456453  |
| Parallel |     4     |  2  |       0.0024534       | 0.0016587999999999998 |       0.0041124       | 0.24803034724248613  | 0.06200758681062153  |
| Parallel |     4     |  4  | 0.0025175999999999996 |       0.0015164       |       0.0040338       | 0.25286330507214044  | 0.06321582626803511  |
| Parallel |     4     |  8  |       0.0023478       |  0.005738200000000001 |        0.008086       | 0.12614395251051203  | 0.031535988127628006 |
| Parallel |     4     |  16 | 0.0021111999999999997 |       0.0333762       |        0.035487       | 0.028742919942514163 | 0.007185729985628541 |
| Parallel |     8     |  1  |       0.0023848       |       0.0023032       | 0.0046879999999999995 | 0.21757679180887377  | 0.02719709897610922  |
| Parallel |     8     |  2  | 0.0026376000000000004 | 0.0020436000000000005 |  0.004680800000000001 |  0.2179114681251068  | 0.02723893351563835  |
| Parallel |     8     |  4  |       0.0024018       |       0.0038146       |  0.006216600000000001 | 0.16407682656114272  | 0.02050960332014284  |
| Parallel |     8     |  8  | 0.0024089999999999997 |       0.0166294       |  0.019038799999999998 | 0.053574805134777415 | 0.006696850641847177 |
| Parallel |     8     |  16 |       0.0025762       |  0.06313919999999999  |  0.06571560000000001  | 0.015521428701860743 | 0.001940178587732593 |
