| Version  | Processes | OMP |         Tarjan         |     Communication      |        Elapsed         |        Speedup        |       Efficiency       |
|  Serial  |     1     |  0  |        8.16e-05        |          0.0           |        8.16e-05        |          1.0          |          1.0           |
| Parallel |     1     |  1  | 7.879999999999999e-05  |          0.0           | 7.879999999999999e-05  |   1.035532994923858   |   1.035532994923858    |
| Parallel |     1     |  2  | 7.939999999999999e-05  |          0.0           | 7.939999999999999e-05  |   1.027707808564232   |   1.027707808564232    |
| Parallel |     1     |  4  |        7.58e-05        |          0.0           |        7.58e-05        |   1.0765171503957784  |   1.0765171503957784   |
| Parallel |     1     |  8  |        8.02e-05        |          0.0           |        8.02e-05        |   1.0174563591022445  |   1.0174563591022445   |
| Parallel |     1     |  16 | 8.039999999999999e-05  |          0.0           | 8.039999999999999e-05  |   1.0149253731343286  |   1.0149253731343286   |
| Parallel |     2     |  1  |        0.000127        |        8.74e-05        |       0.0002144        |   0.3805970149253731  |  0.19029850746268656   |
| Parallel |     2     |  2  |       0.0001274        |       0.0001302        |       0.0002578        |  0.31652443754848725  |  0.15826221877424362   |
| Parallel |     2     |  4  |       0.0001276        |       0.0001792        |       0.0003072        |        0.265625       |       0.1328125        |
| Parallel |     2     |  8  |       0.0001668        |       0.0002872        | 0.00045439999999999993 |  0.17957746478873243  |  0.08978873239436622   |
| Parallel |     2     |  16 |       0.0001376        |       0.0057972        |  0.005935000000000001  |  0.01374894692502106  |  0.00687447346251053   |
| Parallel |     4     |  1  |        0.000183        | 0.00016800000000000002 | 0.00035079999999999996 |   0.2326111744583809  |  0.05815279361459522   |
| Parallel |     4     |  2  | 0.00019580000000000002 | 0.00018280000000000003 |       0.0003788        |  0.21541710665258715  |  0.05385427666314679   |
| Parallel |     4     |  4  | 0.00019339999999999998 | 0.0008715999999999999  |        0.001065        |  0.07661971830985916  |  0.01915492957746479   |
| Parallel |     4     |  8  |       0.0001862        |  0.005072200000000001  |  0.005258199999999999  |  0.015518618538663424 |  0.003879654634665856  |
| Parallel |     4     |  16 | 0.00017999999999999998 |       0.0329832        |       0.0331632        | 0.0024605586915617313 | 0.0006151396728904328  |
| Parallel |     8     |  1  | 0.00020860000000000003 | 0.00020999999999999998 |       0.0004186        |   0.1949354992833254  |  0.024366937410415675  |
| Parallel |     8     |  2  |       0.0001884        |       0.0001992        | 0.00038780000000000005 |  0.21041774110366165  |  0.026302217637957707  |
| Parallel |     8     |  4  |       0.0002046        |       0.0028352        |        0.00304         |  0.026842105263157896 |  0.003355263157894737  |
| Parallel |     8     |  8  |       0.0001978        |        0.019408        |       0.0196058        | 0.0041620336839098635 | 0.0005202542104887329  |
| Parallel |     8     |  16 |        0.000191        |  0.07070640000000002   |       0.0708974        | 0.0011509589914439741 | 0.00014386987393049676 |
