| Version  | Processes | OMP |        Tarjan        |    Communication     |       Elapsed       |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  |      0.1310142       |         0.0          |      0.1310142      |         1.0         |         1.0          |
| Parallel |     1     |  1  |      0.1390014       |         0.0          |      0.1390014      |  0.9425387082432263 |  0.9425387082432263  |
| Parallel |     1     |  2  |      0.1389386       |         0.0          |      0.1389386      |  0.9429647340623845 |  0.9429647340623845  |
| Parallel |     1     |  4  |      0.1389144       |         0.0          |      0.1389144      |  0.9431290060641662 |  0.9431290060641662  |
| Parallel |     1     |  8  |       0.138982       |         0.0          |       0.138982      |  0.9426702738484121 |  0.9426702738484121  |
| Parallel |     1     |  16 |      0.1390166       |         0.0          |      0.1390166      |  0.9424356515696687 |  0.9424356515696687  |
| Parallel |     2     |  1  |      0.0413732       | 0.050713600000000005 |      0.0920868      |  1.422725081119118  |  0.711362540559559   |
| Parallel |     2     |  2  |      0.0413924       |      0.0263392       |      0.0677316      |  1.9343142639476993 |  0.9671571319738497  |
| Parallel |     2     |  4  |      0.0414442       | 0.026419199999999997 | 0.06786319999999998 |  1.9305632507750892 |  0.9652816253875446  |
| Parallel |     2     |  8  |      0.0412994       |      0.0265036       |       0.067803      |  1.9322773328613778 |  0.9661386664306889  |
| Parallel |     2     |  16 | 0.041462399999999996 |      0.0334708       |      0.0749334      |  1.7484085868251007 |  0.8742042934125503  |
| Parallel |     4     |  1  |      0.0138694       |      0.1964402       | 0.21030920000000003 |  0.6229599085536913 | 0.15573997713842283  |
| Parallel |     4     |  2  |      0.0136146       | 0.13281060000000003  | 0.14642539999999998 |  0.8947505009376789 | 0.22368762523441973  |
| Parallel |     4     |  4  |      0.0137362       |       0.136033       |      0.1497692      |  0.8747739855724675 |  0.2186934963931169  |
| Parallel |     4     |  8  |      0.0139018       |      0.1444744       |      0.1583762      |  0.8272341425037348 |  0.2068085356259337  |
| Parallel |     4     |  16 |      0.0142534       |       0.154098       | 0.16835139999999998 |  0.7782186545523233 | 0.19455466363808083  |
| Parallel |     8     |  1  |       0.006083       |      0.5521182       |  0.5582011999999998 | 0.23470784369506914 | 0.029338480461883643 |
| Parallel |     8     |  2  |      0.0060938       |      0.3424728       | 0.34856640000000005 |  0.3758658321628246 | 0.046983229020353075 |
| Parallel |     8     |  4  | 0.006290799999999999 |      0.3664934       | 0.37278400000000006 | 0.35144802352032267 | 0.043931002940040334 |
| Parallel |     8     |  8  |      0.0068402       |       0.397335       |      0.4041754      |  0.3241518410076417 | 0.040518980125955215 |
| Parallel |     8     |  16 | 0.007248200000000001 |      0.4305938       |       0.437842      |  0.2992271184582566 | 0.03740338980728208  |
