| Version  | Processes | OMP |         Tarjan         |     Communication     |        Elapsed        |       Speedup       |      Efficiency      |
|  Serial  |     1     |  0  |        0.006274        |          0.0          |        0.006274       |         1.0         |         1.0          |
| Parallel |     1     |  1  |  0.006751599999999999  |          0.0          |  0.006751599999999999 |  0.9292612121571184 |  0.9292612121571184  |
| Parallel |     1     |  2  | 0.0066944000000000005  |          0.0          | 0.0066944000000000005 |  0.9372012428298279 |  0.9372012428298279  |
| Parallel |     1     |  4  |       0.0067202        |          0.0          |       0.0067202       |  0.9336031665724235 |  0.9336031665724235  |
| Parallel |     1     |  8  | 0.0067150000000000005  |          0.0          | 0.0067150000000000005 |  0.9343261355174981 |  0.9343261355174981  |
| Parallel |     1     |  16 | 0.0067042000000000004  |          0.0          | 0.0067042000000000004 |  0.9358312699501804 |  0.9358312699501804  |
| Parallel |     2     |  1  | 0.0018470000000000001  | 0.0032272000000000004 |       0.0050744       |  1.236402333280782  |  0.618201166640391   |
| Parallel |     2     |  2  | 0.0018439999999999997  | 0.0017614000000000002 | 0.0036054000000000004 |  1.7401675264880456 |  0.8700837632440228  |
| Parallel |     2     |  4  | 0.0019324000000000001  | 0.0018256000000000001 |       0.0037578       |  1.669593911331098  |  0.834796955665549   |
| Parallel |     2     |  8  | 0.0019350000000000003  | 0.0019415999999999995 | 0.0038768000000000006 |  1.6183450268262483 |  0.8091725134131241  |
| Parallel |     2     |  16 |        0.001834        |       0.0089394       |  0.010773399999999999 |  0.5823602576716729 | 0.29118012883583644  |
| Parallel |     4     |  1  | 0.0007846000000000001  |  0.011870600000000002 |       0.0126552       |  0.4957645868891839 | 0.12394114672229598  |
| Parallel |     4     |  2  | 0.0007821999999999999  |        0.008895       |       0.0096774       |  0.6483146299625934 | 0.16207865749064834  |
| Parallel |     4     |  4  |       0.0008132        |       0.0096768       |        0.01049        |  0.598093422306959  | 0.14952335557673976  |
| Parallel |     4     |  8  | 0.0007735999999999999  |       0.0132914       |       0.0140652       |  0.4460654665415351 | 0.11151636663538378  |
| Parallel |     4     |  16 |       0.0015544        |       0.0344932       |       0.0360476       |  0.1740476481097216 |  0.0435119120274304  |
| Parallel |     8     |  1  |       0.0003888        |       0.0245436       |       0.0249326       |  0.2516384171726976 |  0.0314548021465872  |
| Parallel |     8     |  2  | 0.00043560000000000007 |       0.0184656       |       0.0189012       |  0.3319365966182041 | 0.041492074577275516 |
| Parallel |     8     |  4  |        0.000379        |       0.0194964       |       0.0198756       |  0.3156634265129103 | 0.03945792831411379  |
| Parallel |     8     |  8  | 0.00046580000000000005 |       0.0289342       |  0.029399799999999997 | 0.21340281226402905 | 0.02667535153300363  |
| Parallel |     8     |  16 | 0.0014429999999999998  |       0.0759996       |        0.077443       | 0.08101442351148587 | 0.010126802938935734 |
